agency_id;line_id;lineName;logoPath;type;isPriority;darkMode
fr-astuce;TCAR:90;M;https://hexatransit.fr/assets/logo/fr-astuce/metro/M.png;SUBWAY;0;0
fr-astuce;TCAR:91;T1;https://hexatransit.fr/assets/logo/fr-astuce/bus/T1.png;BUS;0;0
fr-astuce;TCAR:92;T2;https://hexatransit.fr/assets/logo/fr-astuce/bus/T2.png;BUS;0;0
fr-astuce;TCAR:93;T3;https://hexatransit.fr/assets/logo/fr-astuce/bus/T3.png;BUS;0;0
fr-astuce;TCAR:94;T4;https://hexatransit.fr/assets/logo/fr-astuce/bus/T4.png;BUS;0;0
fr-astuce;TCAR:95;T5;https://hexatransit.fr/assets/logo/fr-astuce/bus/T5.png;BUS;0;0
fr-astuce;TCAR:99;Calypso;https://hexatransit.fr/assets/logo/fr-astuce/ferry/Calypso.png;FERRY;0;0
fr-astuce;TCAR:01;F1;https://hexatransit.fr/assets/logo/fr-astuce/bus/F1.png;BUS;1;0
fr-astuce;TCAR:02;F2;https://hexatransit.fr/assets/logo/fr-astuce/bus/F2.png;BUS;1;0
fr-astuce;TCAR:03;F3;https://hexatransit.fr/assets/logo/fr-astuce/bus/F3.png;BUS;1;0
fr-astuce;TCAR:04;F4;https://hexatransit.fr/assets/logo/fr-astuce/bus/F4.png;BUS;1;0
fr-astuce;TCAR:05;F5;https://hexatransit.fr/assets/logo/fr-astuce/bus/F5.png;BUS;1;0
fr-astuce;TCAR:06;F6;https://hexatransit.fr/assets/logo/fr-astuce/bus/F6.png;BUS;1;0
fr-astuce;TCAR:07;F7;https://hexatransit.fr/assets/logo/fr-astuce/bus/F7.png;BUS;1;0
fr-astuce;TCAR:08;F8;https://hexatransit.fr/assets/logo/fr-astuce/bus/F8.png;BUS;1;0
fr-astuce;TAE:118;F9;https://hexatransit.fr/assets/logo/fr-astuce/bus/F9.png;BUS;1;0
fr-astuce;TCAR:98;Noctambus;https://hexatransit.fr/assets/logo/fr-astuce/bus/Noctambus.png;BUS;1;0
fr-astuce;TCAR:10;10;https://hexatransit.fr/assets/logo/fr-astuce/bus/10.png;BUS;0;0
fr-astuce;TCAR:11;11;https://hexatransit.fr/assets/logo/fr-astuce/bus/11.png;BUS;0;0
fr-astuce;TCAR:13;13;https://hexatransit.fr/assets/logo/fr-astuce/bus/13.png;BUS;0;0
fr-astuce;TCAR:14;14;https://hexatransit.fr/assets/logo/fr-astuce/bus/14.png;BUS;0;0
fr-astuce;TCAR:15;15;https://hexatransit.fr/assets/logo/fr-astuce/bus/15.png;BUS;0;0
fr-astuce;TCAR:20;20;https://hexatransit.fr/assets/logo/fr-astuce/bus/20.png;BUS;0;0
fr-astuce;TCAR:22;22;https://hexatransit.fr/assets/logo/fr-astuce/bus/22.png;BUS;0;0
fr-astuce;TCAR:26;26;https://hexatransit.fr/assets/logo/fr-astuce/bus/26.png;BUS;0;0
fr-astuce;TCAR:27;27;https://hexatransit.fr/assets/logo/fr-astuce/bus/27.png;BUS;0;0
fr-astuce;TCAR:28;28;https://hexatransit.fr/assets/logo/fr-astuce/bus/28.png;BUS;0;0
fr-astuce;TCAR:529;529;https://hexatransit.fr/assets/logo/fr-astuce/bus/529.png;BUS;0;0
fr-astuce;TCAR:530;530;https://hexatransit.fr/assets/logo/fr-astuce/bus/530.png;BUS;0;0
fr-astuce;TCAR:33;33;https://hexatransit.fr/assets/logo/fr-astuce/bus/33.png;BUS;0;0
fr-astuce;TCAR:35;35;https://hexatransit.fr/assets/logo/fr-astuce/bus/35.png;BUS;0;0
fr-astuce;TCAR:36;36;https://hexatransit.fr/assets/logo/fr-astuce/bus/36.png;BUS;0;0
fr-astuce;TCAR:37;37;https://hexatransit.fr/assets/logo/fr-astuce/bus/37.png;BUS;0;0
fr-astuce;TCAR:38;38;https://hexatransit.fr/assets/logo/fr-astuce/bus/38.png;BUS;0;0
fr-astuce;TCAR:41;41;https://hexatransit.fr/assets/logo/fr-astuce/bus/41.png;BUS;0;0
fr-astuce;TCAR:42;42;https://hexatransit.fr/assets/logo/fr-astuce/bus/42.png;BUS;0;0
