agency_id;line_id;lineName;logoPath;type;isPriority;darkMode
fr-dkbus;54;S;https://hexatransit.fr/assets/logo/fr-dkbus/bus/S.png;BUS;0;0
fr-dkbus;51;N2;https://hexatransit.fr/assets/logo/fr-dkbus/bus/N2.png;BUS;0;0
fr-dkbus;68;C6;https://hexatransit.fr/assets/logo/fr-dkbus/bus/C6.png;BUS;1;0
fr-dkbus;35;C5;https://hexatransit.fr/assets/logo/fr-dkbus/bus/C5.png;BUS;1;0
fr-dkbus;41;21;https://hexatransit.fr/assets/logo/fr-dkbus/bus/21.png;BUS;0;0
fr-dkbus;53;26;https://hexatransit.fr/assets/logo/fr-dkbus/bus/26.png;BUS;0;0
fr-dkbus;36;17;https://hexatransit.fr/assets/logo/fr-dkbus/bus/17.png;BUS;0;0
fr-dkbus;38;18;https://hexatransit.fr/assets/logo/fr-dkbus/bus/18.png;BUS;0;0
fr-dkbus;58;15;https://hexatransit.fr/assets/logo/fr-dkbus/bus/15.png;BUS;0;0
fr-dkbus;39;19;https://hexatransit.fr/assets/logo/fr-dkbus/bus/19.png;BUS;0;0
fr-dkbus;34;C4;https://hexatransit.fr/assets/logo/fr-dkbus/bus/C4.png;BUS;1;0
fr-dkbus;50;N1;https://hexatransit.fr/assets/logo/fr-dkbus/bus/N1.png;BUS;0;0
fr-dkbus;48;23;https://hexatransit.fr/assets/logo/fr-dkbus/bus/23.png;BUS;0;0
fr-dkbus;32;C1;https://hexatransit.fr/assets/logo/fr-dkbus/bus/C1.png;BUS;1;0
fr-dkbus;31;C2;https://hexatransit.fr/assets/logo/fr-dkbus/bus/C2.png;BUS;1;0
fr-dkbus;40;20;https://hexatransit.fr/assets/logo/fr-dkbus/bus/20.png;BUS;0;0
fr-dkbus;33;C3;https://hexatransit.fr/assets/logo/fr-dkbus/bus/C3.png;BUS;1;0
fr-dkbus;21;16;https://hexatransit.fr/assets/logo/fr-dkbus/bus/16.png;BUS;0;0
fr-dkbus;46;24;https://hexatransit.fr/assets/logo/fr-dkbus/bus/24.png;BUS;0;0
fr-dkbus;69;RO;https://hexatransit.fr/assets/logo/fr-dkbus/bus/RO.png;BUS;0;0
