agency_id;line_id;lineName;logoPath;type;isPriority;darkMode
fr-transurbain;ATOUMOD004:Line:T1:LOC;T1;https://hexatransit.fr/assets/logo/fr-transurbain/bus/T1.png;BUS;0;0
fr-transurbain;ATOUMOD004:Line:T10:LOC;T10;https://hexatransit.fr/assets/logo/fr-transurbain/bus/T10.png;BUS;0;0
fr-transurbain;ATOUMOD004:Line:T2:LOC;T2;https://hexatransit.fr/assets/logo/fr-transurbain/bus/T2.png;BUS;0;0
fr-transurbain;ATOUMOD004:Line:T3:LOC;T3;https://hexatransit.fr/assets/logo/fr-transurbain/bus/T3.png;BUS;0;0
fr-transurbain;ATOUMOD004:Line:T4:LOC;T4;https://hexatransit.fr/assets/logo/fr-transurbain/bus/T4.png;BUS;0;0
fr-transurbain;ATOUMOD004:Line:T5:LOC;T5;https://hexatransit.fr/assets/logo/fr-transurbain/bus/T5.png;BUS;0;0
fr-transurbain;ATOUMOD004:Line:T6:LOC;T6;https://hexatransit.fr/assets/logo/fr-transurbain/bus/T6.png;BUS;0;0
fr-transurbain;ATOUMOD004:Line:T7:LOC;T7;https://hexatransit.fr/assets/logo/fr-transurbain/bus/T7.png;BUS;0;0
fr-transurbain;ATOUMOD004:Line:T8:LOC;T8;https://hexatransit.fr/assets/logo/fr-transurbain/bus/T8.png;BUS;0;0
fr-transurbain;ATOUMOD004:Line:T9:LOC;T9;https://hexatransit.fr/assets/logo/fr-transurbain/bus/T9.png;BUS;0;0
